codigo_ibge,nome_x,latitude_x,longitude_x,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_y,latitude_y,longitude_y,regiao
1200013,Acrelândia,-9.82581,-66.8972,0,12,643,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200054,Assis Brasil,-10.9298,-69.5738,0,12,157,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200104,Brasiléia,-10.995,-68.7497,0,12,105,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200138,Bujari,-9.81528,-67.955,0,12,645,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200179,Capixaba,-10.566,-67.686,0,12,647,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200203,Cruzeiro do Sul,-7.62762,-72.6756,0,12,107,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200252,Epitaciolândia,-11.0188,-68.7341,0,12,651,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200302,Feijó,-8.17054,-70.351,0,12,113,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200328,Jordão,-9.1908,-71.9503,0,12,653,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200336,Mâncio Lima,-7.61657,-72.8997,0,12,109,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200344,Manoel Urbano,-8.83291,-69.2679,0,12,155,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200351,Marechal Thaumaturgo,-8.93898,-72.7997,0,12,655,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200385,Plácido de Castro,-10.2806,-67.1371,0,12,151,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200807,Porto Acre,-9.58138,-67.5478,0,12,649,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200393,Porto Walter,-8.26323,-72.7537,0,12,657,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200401,Rio Branco,-9.97499,-67.8243,1,12,139,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200427,Rodrigues Alves,-7.73864,-72.661,0,12,659,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200435,Santa Rosa do Purus,-9.44652,-70.4902,0,12,661,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200500,Sena Madureira,-9.06596,-68.6571,0,12,145,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200450,Senador Guiomard,-10.1497,-67.7362,0,12,153,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200609,Tarauacá,-8.15697,-70.7722,0,12,147,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
1200708,Xapuri,-10.6516,-68.4969,0,12,149,68,America/Rio_Branco,AC,Acre,-8.77,-70.55,Norte
