codigo_ibge,nome_x,latitude_x,longitude_x,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_y,latitude_y,longitude_y,regiao
2900108,Abaíra,-13.2488,-41.6619,0,29,3301,77,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2900207,Abaré,-8.72073,-39.1162,0,29,3303,75,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2900306,Acajutiba,-11.6575,-38.0197,0,29,3305,75,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2900355,Adustina,-10.5437,-38.1113,0,29,3253,75,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2900405,Água Fria,-11.8618,-38.7639,0,29,3307,75,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2900603,Aiquara,-14.1269,-39.8937,0,29,3311,73,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2900702,Alagoinhas,-12.1335,-38.4208,0,29,3313,75,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2900801,Alcobaça,-17.5195,-39.2036,0,29,3315,73,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2900900,Almadina,-14.7089,-39.6415,0,29,3317,73,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2901007,Amargosa,-13.0215,-39.602,0,29,3319,75,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2901106,Amélia Rodrigues,-12.3914,-38.7563,0,29,3321,75,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2901155,América Dourada,-11.4429,-41.439,0,29,3071,74,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2901205,Anagé,-14.6151,-41.1356,0,29,3323,77,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2901304,Andaraí,-12.8049,-41.3297,0,29,3325,75,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2901353,Andorinha,-10.3482,-39.8391,0,29,3255,74,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2901403,Angical,-12.0063,-44.7003,0,29,3327,77,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
2901502,Anguera,-12.1462,-39.2462,0,29,3329,75,America/Sao_Paulo,BA,Bahia,-13.29,-41.71,Nordeste
