codigo_ibge,nome_x,latitude_x,longitude_x,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_y,latitude_y,longitude_y,regiao
5200050,Abadia de Goiás,-16.7573,-49.4412,0,52,1050,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
5200100,Abadiânia,-16.197,-48.7057,0,52,9201,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
5200134,Acreúna,-17.396,-50.3749,0,52,9645,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
5200159,Adelândia,-16.4127,-50.1657,0,52,9769,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
5200175,Água Fria de Goiás,-14.9778,-47.7823,0,52,9771,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
5200209,Água Limpa,-18.0771,-48.7603,0,52,9203,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
5200258,Águas Lindas de Goiás,-15.7617,-48.2816,0,52,1052,61,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
5200308,Alexânia,-16.0834,-48.5076,0,52,9205,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
5200506,Aloândia,-17.7292,-49.4769,0,52,9209,64,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
5200555,Alto Horizonte,-14.1978,-49.3378,0,52,85,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
5200605,Alto Paraíso de Goiás,-14.1305,-47.51,0,52,9211,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
5200803,Alvorada do Norte,-14.4797,-46.491,0,52,9215,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
5200829,Amaralina,-13.9236,-49.2962,0,52,1054,62,America/Sao_Paulo,GO,Goiás,-15.98,-49.86,Centro-Oeste
