codigo_ibge,nome_x,latitude_x,longitude_x,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_y,latitude_y,longitude_y,regiao
2100055,Açailândia,-4.94714,-47.5004,0,21,961,99,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100105,Afonso Cunha,-4.13631,-43.3275,0,21,701,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100154,Água Doce do Maranhão,-2.84048,-42.1189,0,21,104,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100204,Alcântara,-2.39574,-44.4062,0,21,703,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100303,Aldeias Altas,-4.62621,-43.4689,0,21,705,99,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100402,Altamira do Maranhão,-4.16598,-45.4706,0,21,707,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100436,Alto Alegre do Maranhão,-4.213,-44.446,0,21,106,99,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100477,Alto Alegre do Pindaré,-3.66689,-45.8421,0,21,108,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100501,Alto Parnaíba,-9.10273,-45.9303,0,21,709,99,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100550,Amapá do Maranhão,-1.67524,-46.0024,0,21,110,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100600,Amarante do Maranhão,-5.56913,-46.7473,0,21,711,99,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100709,Anajatuba,-3.26269,-44.6126,0,21,713,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100808,Anapurus,-3.67577,-43.1014,0,21,715,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100832,Apicum-Açu,-1.45862,-45.0864,0,21,112,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100873,Araguanã,-2.94644,-45.6589,0,21,114,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100907,Araioses,-2.89091,-41.905,0,21,717,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2100956,Arame,-4.88347,-46.0032,0,21,1281,99,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101004,Arari,-3.45214,-44.7665,0,21,719,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101103,Axixá,-2.83939,-44.062,0,21,721,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101202,Bacabal,-4.22447,-44.7832,0,21,723,99,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101251,Bacabeira,-2.96452,-44.3164,0,21,116,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101301,Bacuri,-1.6965,-45.1328,0,21,725,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101350,Bacurituba,-2.71,-44.7329,0,21,118,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101400,Balsas,-7.53214,-46.0372,0,21,727,99,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101509,Barão de Grajaú,-6.74463,-43.0261,0,21,729,99,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101608,Barra do Corda,-5.49682,-45.2485,0,21,731,99,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101707,Barreirinhas,-2.75863,-42.8232,0,21,733,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101772,Bela Vista do Maranhão,-3.72618,-45.3075,0,21,122,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101731,Belágua,-3.15485,-43.5122,0,21,120,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101806,Benedito Leite,-7.21037,-44.5577,0,21,735,99,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101905,Bequimão,-2.44162,-44.7842,0,21,737,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101939,Bernardo do Mearim,-4.62666,-44.7608,0,21,124,99,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2101970,Boa Vista do Gurupi,-1.77614,-46.3002,0,21,126,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2102002,Bom Jardim,-3.54129,-45.606,0,21,955,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2102036,Bom Jesus das Selvas,-4.47638,-46.8641,0,21,128,98,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
2102077,Bom Lugar,-4.37311,-45.0326,0,21,130,99,America/Sao_Paulo,MA,Maranhão,-5.42,-45.44,Nordeste
