codigo_ibge,nome_x,latitude_x,longitude_x,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_y,latitude_y,longitude_y,regiao
3100104,Abadia dos Dourados,-18.4831,-47.3916,0,31,4001,34,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3100203,Abaeté,-19.1551,-45.4444,0,31,4003,37,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3100302,Abre Campo,-20.2996,-42.4743,0,31,4005,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3100401,Acaiaca,-20.359,-43.1439,0,31,4007,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3100500,Açucena,-19.0671,-42.5419,0,31,4009,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3100609,Água Boa,-17.9914,-42.3806,0,31,4011,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3100708,Água Comprida,-20.0576,-48.1069,0,31,4013,34,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3100807,Aguanil,-20.9439,-45.3915,0,31,4015,35,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3100906,Águas Formosas,-17.0802,-40.9384,0,31,4017,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3101003,Águas Vermelhas,-15.7431,-41.4571,0,31,4019,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3101102,Aimorés,-19.5007,-41.0746,0,31,4021,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3101201,Aiuruoca,-21.9736,-44.6042,0,31,4023,35,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3101300,Alagoa,-22.171,-44.6413,0,31,4025,35,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3101409,Albertina,-22.2018,-46.6139,0,31,4027,35,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3101508,Além Paraíba,-21.8797,-42.7176,0,31,4029,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3101607,Alfenas,-21.4256,-45.9477,0,31,4031,35,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3101631,Alfredo Vasconcelos,-21.1535,-43.7718,0,31,2681,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3101706,Almenara,-16.1785,-40.6942,0,31,4033,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3101805,Alpercata,-18.974,-41.97,0,31,4035,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3101904,Alpinópolis,-20.8631,-46.3878,0,31,4037,35,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3102001,Alterosa,-21.2488,-46.1387,0,31,4039,35,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3102050,Alto Caparaó,-20.431,-41.8738,0,31,564,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3153509,Alto Jequitibá,-20.4208,-41.967,0,31,5069,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3102100,Alto Rio Doce,-21.0281,-43.4067,0,31,4041,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3102209,Alvarenga,-19.4174,-41.7317,0,31,4043,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3102308,Alvinópolis,-20.1098,-43.0535,0,31,4045,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3102407,Alvorada de Minas,-18.7334,-43.3638,0,31,4047,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3102506,Amparo do Serra,-20.5051,-42.8009,0,31,4049,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3102605,Andradas,-22.0695,-46.5724,0,31,4051,35,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3102803,Andrelândia,-21.7411,-44.3117,0,31,4055,35,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3102852,Angelândia,-17.7279,-42.2641,0,31,566,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3102902,Antônio Carlos,-21.321,-43.7451,0,31,4057,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3103009,Antônio Dias,-19.6491,-42.8732,0,31,4059,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3103108,Antônio Prado de Minas,-21.0192,-42.1109,0,31,4061,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3103207,Araçaí,-19.1955,-44.2493,0,31,4063,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3103306,Aracitaba,-21.3446,-43.3736,0,31,4065,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3103405,Araçuaí,-16.8523,-42.0637,0,31,4067,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3103504,Araguari,-18.6456,-48.1934,0,31,4069,34,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3103603,Arantina,-21.9102,-44.2555,0,31,4071,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3103702,Araponga,-20.6686,-42.5178,0,31,4073,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3103751,Araporã,-18.4357,-49.1847,0,31,2903,34,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3103801,Arapuá,-19.0268,-46.1484,0,31,4075,34,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3103900,Araújos,-19.9405,-45.1671,0,31,4077,37,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3104007,Araxá,-19.5902,-46.9438,0,31,4079,34,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3104106,Arceburgo,-21.359,-46.9401,0,31,4081,35,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3104205,Arcos,-20.2863,-45.5373,0,31,4083,37,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3104304,Areado,-21.3572,-46.1421,0,31,4085,35,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3104403,Argirita,-21.6083,-42.8292,0,31,4087,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3104452,Aricanduva,-17.8666,-42.5533,0,31,568,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3104502,Arinos,-15.9187,-46.1043,0,31,4089,38,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3104601,Astolfo Dutra,-21.3184,-42.8572,0,31,4091,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3104700,Ataléia,-18.0438,-41.1149,0,31,4093,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3104809,Augusto de Lima,-18.0997,-44.2655,0,31,4095,38,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3104908,Baependi,-21.957,-44.8874,0,31,4097,35,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3105004,Baldim,-19.2832,-43.9613,0,31,4099,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3105103,Bambuí,-20.0166,-45.9754,0,31,4101,37,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3105202,Bandeira,-15.8783,-40.5622,0,31,4103,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3105301,Bandeira do Sul,-21.7308,-46.3833,0,31,4105,35,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3105400,Barão de Cocais,-19.9389,-43.4755,0,31,4107,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3105509,Barão de Monte Alto,-21.2444,-42.2372,0,31,4109,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3105608,Barbacena,-21.2214,-43.7703,0,31,4111,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3105707,Barra Longa,-20.2869,-43.0402,0,31,4113,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3105905,Barroso,-21.1907,-43.972,0,31,4117,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3106002,Bela Vista de Minas,-19.8302,-43.0922,0,31,4119,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3106101,Belmiro Braga,-21.944,-43.4084,0,31,4121,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3106200,Belo Horizonte,-19.9102,-43.9266,1,31,4123,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3106309,Belo Oriente,-19.2199,-42.4828,0,31,4125,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3106408,Belo Vale,-20.4077,-44.0275,0,31,4127,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3106507,Berilo,-16.9567,-42.4606,0,31,4129,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3106655,Berizal,-15.61,-41.7432,0,31,570,38,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3106606,Bertópolis,-17.059,-40.58,0,31,4131,33,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3106705,Betim,-19.9668,-44.2008,0,31,4133,31,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3106804,Bias Fortes,-21.602,-43.7574,0,31,4135,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
3106903,Bicas,-21.7232,-43.056,0,31,4137,32,America/Sao_Paulo,MG,Minas Gerais,-18.1,-44.38,Sudeste
