codigo_ibge,nome_x,latitude_x,longitude_x,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_y,latitude_y,longitude_y,regiao
5000203,Água Clara,-20.4452,-52.879,0,50,9003,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5000252,Alcinópolis,-18.3255,-53.7042,0,50,141,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5000609,Amambai,-23.1058,-55.2253,0,50,9011,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5000708,Anastácio,-20.4823,-55.8104,0,50,9013,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5000807,Anaurilândia,-22.1852,-52.7191,0,50,9015,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5000856,Angélica,-22.1527,-53.7708,0,50,9169,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5000906,Antônio João,-22.1927,-55.9517,0,50,9017,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5001003,Aparecida do Taboado,-20.0873,-51.0961,0,50,9019,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5001102,Aquidauana,-20.4666,-55.7868,0,50,9021,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5001243,Aral Moreira,-22.9385,-55.6334,0,50,9171,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5001508,Bandeirantes,-19.9275,-54.3585,0,50,9029,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5001904,Bataguassu,-21.7159,-52.4221,0,50,9037,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5002001,Batayporã,-22.2944,-53.2705,0,50,9039,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5002100,Bela Vista,-22.1073,-56.5263,0,50,9041,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5002159,Bodoquena,-20.537,-56.7127,0,50,9801,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5002209,Bonito,-21.1261,-56.4836,0,50,9043,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5002308,Brasilândia,-21.2544,-52.0365,0,50,9045,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5002407,Caarapó,-22.6368,-54.8209,0,50,9055,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5002605,Camapuã,-19.5347,-54.0431,0,50,9049,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5002704,Campo Grande,-20.4486,-54.6295,1,50,9051,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5002803,Caracol,-22.011,-57.0277,0,50,9053,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5002902,Cassilândia,-19.1179,-51.7313,0,50,9057,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5002951,Chapadão do Sul,-18.788,-52.6263,0,50,9787,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5003108,Corguinho,-19.8243,-54.8281,0,50,9061,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5003157,Coronel Sapucaia,-23.2724,-55.5278,0,50,9997,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5003207,Corumbá,-19.0077,-57.651,0,50,9063,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5003256,Costa Rica,-18.5432,-53.1287,0,50,9803,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5003306,Coxim,-18.5013,-54.751,0,50,9065,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5003454,Deodápolis,-22.2763,-54.1682,0,50,9175,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5003488,Dois Irmãos do Buriti,-20.6848,-55.2915,0,50,9793,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5003504,Douradina,-22.0405,-54.6158,0,50,9805,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5003702,Dourados,-22.2231,-54.812,0,50,9073,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5003751,Eldorado,-23.7868,-54.2838,0,50,9173,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5003801,Fátima do Sul,-22.3789,-54.5131,0,50,9075,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5003900,Figueirão,-18.6782,-53.638,0,50,1178,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
5004007,Glória de Dourados,-22.4136,-54.2335,0,50,9079,67,America/Porto_Velho,MS,Mato Grosso do Sul,-20.51,-54.54,Centro-Oeste
