codigo_ibge,nome_x,latitude_x,longitude_x,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_y,latitude_y,longitude_y,regiao
2500106,Água Branca,-7.51144,-37.6357,0,25,1901,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
2500205,Aguiar,-7.0918,-38.1681,0,25,1903,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
2500304,Alagoa Grande,-7.03943,-35.6206,0,25,1905,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
2500403,Alagoa Nova,-7.05377,-35.7591,0,25,1907,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
2500502,Alagoinha,-6.94657,-35.5332,0,25,1909,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
2500536,Alcantil,-7.73668,-36.0511,0,25,440,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
2500577,Algodão de Jandaíra,-6.89292,-36.0129,0,25,442,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
2500601,Alhandra,-7.42977,-34.9057,0,25,1911,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
2500734,Amparo,-7.55502,-37.0628,0,25,444,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
2500775,Aparecida,-6.78466,-38.0803,0,25,446,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
2500809,Araçagi,-6.84374,-35.3737,0,25,1915,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
2500908,Arara,-6.82813,-35.7552,0,25,1917,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
2501005,Araruna,-6.54848,-35.7498,0,25,1919,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
2501104,Areia,-6.96396,-35.6977,0,25,1921,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
2501153,Areia de Baraúnas,-7.11702,-36.9404,0,25,448,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
2501203,Areial,-7.04789,-35.9313,0,25,1923,83,America/Sao_Paulo,PB,Paraíba,-7.28,-36.72,Nordeste
