codigo_ibge,nome_x,latitude_x,longitude_x,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_y,latitude_y,longitude_y,regiao
2600054,Abreu e Lima,-7.90072,-34.8984,0,26,2631,81,America/Sao_Paulo,PE,Pernambuco,-8.38,-37.86,Nordeste
2600104,Afogados da Ingazeira,-7.74312,-37.631,0,26,2301,87,America/Sao_Paulo,PE,Pernambuco,-8.38,-37.86,Nordeste
2600203,Afrânio,-8.51136,-41.0095,0,26,2303,87,America/Sao_Paulo,PE,Pernambuco,-8.38,-37.86,Nordeste
2600302,Agrestina,-8.45966,-35.9447,0,26,2305,81,America/Sao_Paulo,PE,Pernambuco,-8.38,-37.86,Nordeste
2600401,Água Preta,-8.70609,-35.5263,0,26,2307,81,America/Sao_Paulo,PE,Pernambuco,-8.38,-37.86,Nordeste
2600500,Águas Belas,-9.11125,-37.1226,0,26,2309,87,America/Sao_Paulo,PE,Pernambuco,-8.38,-37.86,Nordeste
2600609,Alagoinha,-8.4665,-36.7788,0,26,2311,87,America/Sao_Paulo,PE,Pernambuco,-8.38,-37.86,Nordeste
2600708,Aliança,-7.60398,-35.2227,0,26,2313,81,America/Sao_Paulo,PE,Pernambuco,-8.38,-37.86,Nordeste
2600807,Altinho,-8.48482,-36.0644,0,26,2315,81,America/Sao_Paulo,PE,Pernambuco,-8.38,-37.86,Nordeste
2600906,Amaraji,-8.37691,-35.4501,0,26,2317,81,America/Sao_Paulo,PE,Pernambuco,-8.38,-37.86,Nordeste
2601003,Angelim,-8.88429,-36.2902,0,26,2319,87,America/Sao_Paulo,PE,Pernambuco,-8.38,-37.86,Nordeste
2601052,Araçoiaba,-7.78391,-35.0809,0,26,544,81,America/Sao_Paulo,PE,Pernambuco,-8.38,-37.86,Nordeste
2601102,Araripina,-7.57073,-40.494,0,26,2321,87,America/Sao_Paulo,PE,Pernambuco,-8.38,-37.86,Nordeste
