codigo_ibge,nome_x,latitude_x,longitude_x,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_y,latitude_y,longitude_y,regiao
2200053,Acauã,-8.21954,-41.0831,0,22,266,89,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
2200103,Agricolândia,-5.79676,-42.6664,0,22,1001,86,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
2200202,Água Branca,-5.88856,-42.637,0,22,1003,86,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
2200251,Alagoinha do Piauí,-7.00039,-40.9282,0,22,9767,89,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
2200277,Alegrete do Piauí,-7.24196,-40.8566,0,22,2269,89,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
2200301,Alto Longá,-5.25634,-42.2096,0,22,1005,86,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
2200400,Altos,-5.03888,-42.4612,0,22,1007,86,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
2200459,Alvorada do Gurguéia,-8.42418,-43.777,0,22,268,89,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
2200509,Amarante,-6.24304,-42.8433,0,22,1009,86,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
2200608,Angical do Piauí,-6.08786,-42.74,0,22,1011,86,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
2200707,Anísio de Abreu,-9.18564,-43.0494,0,22,1013,89,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
2200806,Antônio Almeida,-7.21276,-44.1889,0,22,1015,89,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
2200905,Aroazes,-6.11022,-41.7822,0,22,1017,89,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
2200954,Aroeiras do Itaim,-7.24502,-41.5325,0,22,1188,89,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
2201002,Arraial,-6.65075,-42.5418,0,22,1019,89,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
2201051,Assunção do Piauí,-5.865,-41.0389,0,22,270,86,America/Sao_Paulo,PI,Piauí,-6.6,-42.28,Nordeste
