codigo_ibge,nome_x,latitude_x,longitude_x,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_y,latitude_y,longitude_y,regiao
2400109,Acari,-6.4282,-36.6347,0,24,1601,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2400208,Açu,-5.58362,-36.914,0,24,1603,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2400307,Afonso Bezerra,-5.49229,-36.5075,0,24,1605,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2400406,Água Nova,-6.20351,-38.2941,0,24,1607,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2400505,Alexandria,-6.40533,-38.0142,0,24,1609,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2400604,Almino Afonso,-6.1475,-37.7636,0,24,1611,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2400703,Alto do Rodrigues,-5.28186,-36.75,0,24,1613,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2400802,Angicos,-5.65792,-36.6094,0,24,1615,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2400901,Antônio Martins,-6.21367,-37.8834,0,24,1617,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2401008,Apodi,-5.65349,-37.7946,0,24,1619,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2401107,Areia Branca,-4.95254,-37.1252,0,24,1621,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2401206,Arês,-6.18831,-35.1608,0,24,1623,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2401305,Augusto Severo (Campo Grande),-5.86206,-37.3135,0,24,1625,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2401404,Baía Formosa,-6.37161,-35.0033,0,24,1627,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2401453,Baraúna,-5.06977,-37.6129,0,24,3003,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2401503,Barcelona,-5.94284,-35.9247,0,24,1629,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2401602,Bento Fernandes,-5.69906,-35.813,0,24,1631,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2401651,Bodó,-5.98027,-36.4167,0,24,412,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2401701,Bom Jesus,-5.98648,-35.5792,0,24,1633,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2401800,Brejinho,-6.18566,-35.3591,0,24,1635,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2401859,Caiçara do Norte,-5.07091,-36.0717,0,24,414,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2401909,Caiçara do Rio do Vento,-5.76541,-35.9938,0,24,1637,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2402006,Caicó,-6.45441,-37.1067,0,24,1639,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2402105,Campo Redondo,-6.23829,-36.1888,0,24,1641,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2402204,Canguaretama,-6.37193,-35.1281,0,24,1643,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2402303,Caraúbas,-5.78387,-37.5586,0,24,1645,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2402402,Carnaúba dos Dantas,-6.55015,-36.5868,0,24,1647,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2402501,Carnaubais,-5.34181,-36.8335,0,24,1649,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2402600,Ceará-Mirim,-5.64323,-35.4247,0,24,1651,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2402709,Cerro Corá,-6.03503,-36.3503,0,24,1653,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2402808,Coronel Ezequiel,-6.3748,-36.2223,0,24,1655,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2402907,Coronel João Pessoa,-6.24974,-38.4441,0,24,1657,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2403004,Cruzeta,-6.40894,-36.7782,0,24,1659,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2403103,Currais Novos,-6.25484,-36.5146,0,24,1661,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2403202,Doutor Severiano,-6.08082,-38.3794,0,24,1663,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2403301,Encanto,-6.10691,-38.3033,0,24,1665,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2403400,Equador,-6.93835,-36.717,0,24,1667,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2403509,Espírito Santo,-6.33563,-35.3052,0,24,1669,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2403608,Extremoz,-5.70143,-35.3048,0,24,1671,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2403707,Felipe Guerra,-5.59274,-37.6875,0,24,1673,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2403756,Fernando Pedroza,-5.69096,-36.5282,0,24,416,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2403806,Florânia,-6.12264,-36.8226,0,24,1675,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2403905,Francisco Dantas,-6.07234,-38.1212,0,24,1677,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2404002,Frutuoso Gomes,-6.15669,-37.8375,0,24,1751,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2404101,Galinhos,-5.0909,-36.2754,0,24,1679,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2404200,Goianinha,-6.26486,-35.1943,0,24,1681,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2404309,Governador Dix-Sept Rosado,-5.44887,-37.5183,0,24,1683,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
2404408,Grossos,-4.98068,-37.1621,0,24,1685,84,America/Sao_Paulo,RN,Rio Grande do Norte,-5.81,-36.59,Nordeste
