codigo_ibge,nome_x,latitude_x,longitude_x,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_y,latitude_y,longitude_y,regiao
4300034,Aceguá,-31.8665,-54.1615,0,43,1118,53,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300059,Água Santa,-28.1672,-52.031,0,43,8499,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300109,Agudo,-29.6447,-53.2515,0,43,8501,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300208,Ajuricaba,-28.2342,-53.7757,0,43,8503,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300307,Alecrim,-27.6579,-54.7649,0,43,8505,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300406,Alegrete,-29.7902,-55.7949,0,43,8507,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300455,Alegria,-27.8345,-54.0557,0,43,8497,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300471,Almirante Tamandaré do Sul,-28.1149,-52.9142,0,43,1120,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300505,Alpestre,-27.2502,-53.0341,0,43,8509,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300554,Alto Alegre,-28.7769,-52.9893,0,43,8495,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300570,Alto Feliz,-29.3919,-51.3123,0,43,6045,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300604,Alvorada,-29.9914,-51.0809,0,43,8511,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300638,Amaral Ferrador,-30.8756,-52.2509,0,43,8493,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300646,Ametista do Sul,-27.3607,-53.183,0,43,5969,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300661,André da Rocha,-28.6283,-51.5797,0,43,8491,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300703,Anta Gorda,-28.9698,-52.0102,0,43,8513,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300802,Antônio Prado,-28.8565,-51.2883,0,43,8515,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300851,Arambaré,-30.9092,-51.5046,0,43,5779,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300877,Araricá,-29.6168,-50.9291,0,43,952,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4300901,Aratiba,-27.3978,-52.2975,0,43,8517,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301008,Arroio do Meio,-29.4014,-51.9557,0,43,8519,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301073,Arroio do Padre,-31.4389,-52.4246,0,43,1122,53,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301057,Arroio do Sal,-29.5439,-49.8895,0,43,8489,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301206,Arroio do Tigre,-29.3348,-53.0966,0,43,8523,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301107,Arroio dos Ratos,-30.0875,-51.7275,0,43,8521,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301305,Arroio Grande,-32.2327,-53.0862,0,43,8525,53,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301404,Arvorezinha,-28.8737,-52.1781,0,43,8527,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301503,Augusto Pestana,-28.5172,-53.9883,0,43,8529,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301552,Áurea,-27.6936,-52.0505,0,43,8487,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301602,Bagé,-31.3297,-54.0999,0,43,8531,53,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301636,Balneário Pinhal,-30.2419,-50.2337,0,43,954,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301651,Barão,-29.3725,-51.4949,0,43,8485,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301701,Barão de Cotegipe,-27.6208,-52.3798,0,43,8533,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301750,Barão do Triunfo,-30.3891,-51.7384,0,43,5771,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301859,Barra do Guarita,-27.1927,-53.7109,0,43,6069,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301875,Barra do Quaraí,-30.2029,-57.5497,0,43,956,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301909,Barra do Ribeiro,-30.2939,-51.3014,0,43,8537,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301925,Barra do Rio Azul,-27.4069,-52.4084,0,43,5959,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301958,Barra Funda,-27.9205,-53.0391,0,43,5943,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4301800,Barracão,-27.6739,-51.4585,0,43,8535,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302006,Barros Cassal,-29.0947,-52.5836,0,43,8539,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302055,Benjamin Constant do Sul,-27.5086,-52.5995,0,43,958,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302105,Bento Gonçalves,-29.1662,-51.5165,0,43,8541,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302154,Boa Vista das Missões,-27.6671,-53.3102,0,43,5981,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302204,Boa Vista do Buricá,-27.6693,-54.1082,0,43,8543,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302220,Boa Vista do Cadeado,-28.5791,-53.8108,0,43,1124,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302238,Boa Vista do Incra,-28.8185,-53.391,0,43,1126,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302253,Boa Vista do Sul,-29.3544,-51.6687,0,43,960,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302303,Bom Jesus,-28.6697,-50.4295,0,43,8545,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302352,Bom Princípio,-29.4856,-51.3548,0,43,9823,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302378,Bom Progresso,-27.5399,-53.8716,0,43,6071,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302402,Bom Retiro do Sul,-29.6071,-51.9456,0,43,8547,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302451,Boqueirão do Leão,-29.3046,-52.4284,0,43,8483,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302501,Bossoroca,-28.7291,-54.9035,0,43,8549,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302584,Bozano,-28.3659,-53.772,0,43,1128,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302600,Braga,-27.6173,-53.7405,0,43,8551,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302659,Brochier,-29.5501,-51.5945,0,43,8449,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302709,Butiá,-30.1179,-51.9601,0,43,8553,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302808,Caçapava do Sul,-30.5144,-53.4827,0,43,8555,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4302907,Cacequi,-29.8883,-54.822,0,43,8557,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4303004,Cachoeira do Sul,-30.033,-52.8928,0,43,8559,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4303103,Cachoeirinha,-29.9472,-51.1016,0,43,8561,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4303202,Cacique Doble,-27.767,-51.6597,0,43,8563,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4303301,Caibaté,-28.2905,-54.6454,0,43,8565,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4303400,Caiçara,-27.2791,-53.4257,0,43,8567,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4303509,Camaquã,-30.8489,-51.8043,0,43,8569,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4303558,Camargo,-28.588,-52.2003,0,43,8447,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4303608,Cambará do Sul,-29.0474,-50.1465,0,43,8571,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4303673,Campestre da Serra,-28.7926,-51.0941,0,43,6013,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4303707,Campina das Missões,-27.9888,-54.8416,0,43,8573,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4303806,Campinas do Sul,-27.7174,-52.6248,0,43,8575,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4303905,Campo Bom,-29.6747,-51.0606,0,43,8577,51,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4304002,Campo Novo,-27.6792,-53.8052,0,43,8579,55,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
4304101,Campos Borges,-28.8871,-53.0008,0,43,8445,54,America/Sao_Paulo,RS,Rio Grande do Sul,-30.17,-53.5,Sul
