codigo_ibge,nome_x,latitude_x,longitude_x,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_y,latitude_y,longitude_y,regiao
4200051,Abdon Batista,-27.6126,-51.0233,0,42,9939,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4200101,Abelardo Luz,-26.5716,-52.3229,0,42,8001,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4200200,Agrolândia,-27.4087,-49.822,0,42,8003,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4200309,Agronômica,-27.2662,-49.708,0,42,8005,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4200408,Água Doce,-26.9985,-51.5528,0,42,8007,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4200507,Águas de Chapecó,-27.0754,-52.9808,0,42,8009,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4200556,Águas Frias,-26.8794,-52.8568,0,42,5577,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4200606,Águas Mornas,-27.6963,-48.8243,0,42,8011,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4200705,Alfredo Wagner,-27.7001,-49.3273,0,42,8013,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4200754,Alto Bela Vista,-27.4333,-51.9044,0,42,886,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4200804,Anchieta,-26.5382,-53.3319,0,42,8015,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4200903,Angelina,-27.5704,-48.9879,0,42,8017,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4201000,Anita Garibaldi,-27.6897,-51.1271,0,42,8019,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4201109,Anitápolis,-27.9012,-49.1316,0,42,8021,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4201208,Antônio Carlos,-27.5191,-48.766,0,42,8023,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4201257,Apiúna,-27.0375,-49.3885,0,42,9941,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4201273,Arabutã,-27.1587,-52.1423,0,42,5597,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4201307,Araquari,-26.3754,-48.7188,0,42,8025,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4201406,Araranguá,-28.9356,-49.4918,0,42,8027,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4201505,Armazém,-28.2448,-49.0215,0,42,8029,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4201604,Arroio Trinta,-26.9257,-51.3407,0,42,8031,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4201653,Arvoredo,-27.0748,-52.4543,0,42,5599,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4201703,Ascurra,-26.9548,-49.3783,0,42,8033,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4201802,Atalanta,-27.4219,-49.7789,0,42,8035,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4201901,Aurora,-27.3098,-49.6295,0,42,8037,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4201950,Balneário Arroio do Silva,-28.9806,-49.4237,0,42,888,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202057,Balneário Barra do Sul,-26.4597,-48.6123,0,42,5549,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202008,Balneário Camboriú,-26.9926,-48.6352,0,42,8039,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202073,Balneário Gaivota,-29.1527,-49.5841,0,42,890,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4212809,Balneário Piçarras,-26.7639,-48.6717,0,42,8251,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4220000,Balneário Rincão,-28.8314,-49.2352,0,42,1192,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202081,Bandeirante,-26.7705,-53.6413,0,42,892,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202099,Barra Bonita,-26.654,-53.44,0,42,894,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202107,Barra Velha,-26.637,-48.6933,0,42,8041,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202131,Bela Vista do Toldo,-26.2746,-50.4664,0,42,896,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202156,Belmonte,-26.843,-53.5758,0,42,5745,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202206,Benedito Novo,-26.781,-49.3593,0,42,8043,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202305,Biguaçu,-27.496,-48.6598,0,42,8045,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202404,Blumenau,-26.9155,-49.0709,0,42,8047,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202438,Bocaina do Sul,-27.7455,-49.9423,0,42,898,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202503,Bom Jardim da Serra,-28.3377,-49.6373,0,42,8389,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202537,Bom Jesus,-26.7326,-52.3919,0,42,900,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202578,Bom Jesus do Oeste,-26.6927,-53.0967,0,42,902,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202602,Bom Retiro,-27.799,-49.487,0,42,8049,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202453,Bombinhas,-27.1382,-48.5146,0,42,5537,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202701,Botuverá,-27.2007,-49.0689,0,42,8051,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202800,Braço do Norte,-28.2681,-49.1701,0,42,8053,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202859,Braço do Trombudo,-27.3586,-49.8821,0,42,5557,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202875,Brunópolis,-27.3058,-50.8684,0,42,904,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4202909,Brusque,-27.0977,-48.9107,0,42,8055,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4203006,Caçador,-26.7757,-51.012,0,42,8057,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4203105,Caibi,-27.0741,-53.2458,0,42,8059,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4203154,Calmon,-26.5942,-51.095,0,42,5553,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4203204,Camboriú,-27.0241,-48.6503,0,42,8061,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4203303,Campo Alegre,-26.195,-49.2676,0,42,8063,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4203402,Campo Belo do Sul,-27.8975,-50.7595,0,42,8065,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4203501,Campo Erê,-26.3931,-53.0856,0,42,8067,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4203600,Campos Novos,-27.4002,-51.2276,0,42,8069,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4203709,Canelinha,-27.2616,-48.7658,0,42,8071,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4203808,Canoinhas,-26.1766,-50.395,0,42,8073,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4203253,Capão Alto,-27.9389,-50.5098,0,42,906,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4203907,Capinzal,-27.3473,-51.6057,0,42,8075,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4203956,Capivari de Baixo,-28.4498,-48.9631,0,42,5545,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204004,Catanduvas,-27.069,-51.6602,0,42,8077,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204103,Caxambu do Sul,-27.1624,-52.8807,0,42,8079,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204152,Celso Ramos,-27.6327,-51.335,0,42,9943,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204178,Cerro Negro,-27.7942,-50.8673,0,42,5567,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204194,Chapadão do Lageado,-27.5905,-49.5539,0,42,908,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204202,Chapecó,-27.1004,-52.6152,0,42,8081,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204251,Cocal do Sul,-28.5986,-49.3335,0,42,5543,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204301,Concórdia,-27.2335,-52.026,0,42,8083,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204350,Cordilheira Alta,-26.9844,-52.6056,0,42,5579,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204400,Coronel Freitas,-26.9057,-52.7011,0,42,8085,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204459,Coronel Martins,-26.511,-52.6694,0,42,5735,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204558,Correia Pinto,-27.5877,-50.3614,0,42,8395,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204509,Corupá,-26.4246,-49.246,0,42,8087,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204608,Criciúma,-28.6723,-49.3729,0,42,8089,48,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204707,Cunha Porã,-26.895,-53.1662,0,42,8091,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204756,Cunhataí,-26.9709,-53.0895,0,42,910,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204806,Curitibanos,-27.2824,-50.5816,0,42,8093,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4204905,Descanso,-26.827,-53.5034,0,42,8095,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4205001,Dionísio Cerqueira,-26.2648,-53.6351,0,42,8097,49,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
4205100,Dona Emma,-26.981,-49.7261,0,42,8099,47,America/Sao_Paulo,SC,Santa Catarina,-27.45,-50.95,Sul
