codigo_ibge,nome_x,latitude_x,longitude_x,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_y,latitude_y,longitude_y,regiao
2800100,Amparo de São Francisco,-10.1348,-36.935,0,28,3101,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2800209,Aquidabã,-10.278,-37.0148,0,28,3103,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2800308,Aracaju,-10.9091,-37.0677,1,28,3105,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2800407,Arauá,-11.2614,-37.6201,0,28,3107,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2800506,Areia Branca,-10.758,-37.3251,0,28,3109,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2800605,Barra dos Coqueiros,-10.8996,-37.0323,0,28,3111,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2800670,Boquim,-11.1397,-37.6195,0,28,3115,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2800704,Brejo Grande,-10.4297,-36.4611,0,28,3113,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2801009,Campo do Brito,-10.7392,-37.4954,0,28,3119,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2801108,Canhoba,-10.1365,-36.9806,0,28,3121,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2801207,Canindé de São Francisco,-9.64882,-37.7923,0,28,3123,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2801306,Capela,-10.5069,-37.0628,0,28,3125,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2801405,Carira,-10.3524,-37.7002,0,28,3127,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2801504,Carmópolis,-10.6449,-36.9887,0,28,3129,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2801603,Cedro de São João,-10.2534,-36.8856,0,28,3131,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2801702,Cristinápolis,-11.4668,-37.7585,0,28,3133,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2801900,Cumbe,-10.352,-37.1846,0,28,3137,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2802007,Divina Pastora,-10.6782,-37.1506,0,28,3139,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2802106,Estância,-11.2659,-37.4484,0,28,3141,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2802205,Feira Nova,-10.2616,-37.3147,0,28,3143,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2802304,Frei Paulo,-10.5513,-37.5279,0,28,3145,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2802403,Gararu,-9.9722,-37.0869,0,28,3149,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2802502,General Maynard,-10.6835,-36.9838,0,28,3147,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2802601,Gracho Cardoso,-10.2252,-37.2006,0,28,3151,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
2802700,Ilha das Flores,-10.4425,-36.5479,0,28,3153,79,America/Sao_Paulo,SE,Sergipe,-10.57,-37.45,Nordeste
