codigo_ibge,nome_x,latitude_x,longitude_x,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_y,latitude_y,longitude_y,regiao
1700251,Abreulândia,-9.62101,-49.1518,0,17,337,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1700301,Aguiarnópolis,-6.55409,-47.4702,0,17,72,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1700350,Aliança do Tocantins,-11.3056,-48.9361,0,17,9441,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1700400,Almas,-11.5706,-47.1792,0,17,9207,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1700707,Alvorada,-12.4785,-49.1249,0,17,9213,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1701002,Ananás,-6.36437,-48.0735,0,17,9219,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1701051,Angico,-6.39179,-47.8611,0,17,165,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1701101,Aparecida do Rio Negro,-9.94139,-47.9638,0,17,9713,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1701309,Aragominas,-7.16005,-48.5291,0,17,167,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1701903,Araguacema,-8.80755,-49.5569,0,17,9237,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1702000,Araguaçu,-12.9289,-49.8231,0,17,9239,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1702109,Araguaína,-7.19238,-48.2044,0,17,9241,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1702158,Araguanã,-6.58225,-48.6395,0,17,169,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1702208,Araguatins,-5.64659,-48.1232,0,17,9243,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1702307,Arapoema,-7.65463,-49.0637,0,17,9245,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1702406,Arraias,-12.9287,-46.9359,0,17,9247,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1702554,Augustinópolis,-5.46863,-47.8863,0,17,9685,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1702703,Aurora do Tocantins,-12.7105,-46.4076,0,17,9253,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1702901,Axixá do Tocantins,-5.61275,-47.7701,0,17,9257,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1703008,Babaçulândia,-7.20923,-47.7613,0,17,9259,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1703057,Bandeirantes do Tocantins,-7.75612,-48.5836,0,17,74,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1703073,Barra do Ouro,-7.69593,-47.6776,0,17,76,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1703107,Barrolândia,-9.83404,-48.7252,0,17,9693,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1703206,Bernardo Sayão,-7.87481,-48.8893,0,17,9695,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1703305,Bom Jesus do Tocantins,-8.96306,-48.165,0,17,341,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1703602,Brasilândia do Tocantins,-8.38918,-48.4822,0,17,339,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1703701,Brejinho de Nazaré,-11.0058,-48.5683,0,17,9273,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1703800,Buriti do Tocantins,-5.31448,-48.2271,0,17,9715,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1703826,Cachoeirinha,-6.1156,-47.9234,0,17,171,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1703842,Campos Lindos,-7.98956,-46.8645,0,17,173,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1703867,Cariri do Tocantins,-11.8881,-49.1609,0,17,327,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1703883,Carmolândia,-7.03262,-48.3978,0,17,175,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1703891,Carrasco Bonito,-5.31415,-48.0314,0,17,177,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1703909,Caseara,-9.27612,-49.9521,0,17,9717,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1704105,Centenário,-8.96103,-47.3304,0,17,343,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1705102,Chapada da Natividade,-11.6175,-47.7486,0,17,80,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1704600,Chapada de Areia,-10.1419,-49.1403,0,17,78,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1705508,Colinas do Tocantins,-8.05764,-48.4757,0,17,9311,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1716703,Colméia,-8.72463,-48.7638,0,17,9529,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1705557,Combinado,-12.7917,-46.5388,0,17,9697,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1705607,Conceição do Tocantins,-12.2209,-47.2951,0,17,9313,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1706001,Couto Magalhães,-8.28411,-49.2473,0,17,9321,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1706100,Cristalândia,-10.5985,-49.1942,0,17,9323,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1706258,Crixás do Tocantins,-11.0994,-48.9152,0,17,82,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1706506,Darcinópolis,-6.71591,-47.7597,0,17,179,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1707009,Dianópolis,-11.624,-46.8198,0,17,9341,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1707108,Divinópolis do Tocantins,-9.80018,-49.2169,0,17,9719,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1707207,Dois Irmãos do Tocantins,-9.25534,-49.0638,0,17,9345,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1707306,Dueré,-11.3416,-49.2716,0,17,9347,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1707405,Esperantina,-5.36593,-48.5378,0,17,181,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
1707553,Fátima,-10.7603,-48.9076,0,17,9683,63,America/Sao_Paulo,TO,Tocantins,-9.46,-48.26,Norte
